Batch,Robot,X,Y,neighbor_0,neighbor_1,neighbor_2,neighbor_3,neighbor_4,neighbor_5,neighbor_6,neighbor_7,neighbor_8,neighbor_9,leader
0,0,0.1994830188070944,0.38711177613100034,,1.1020574741400748,0.9031076595178275,2.1609501837394585,0.73205219416672,0.9627243843479516,1.9015240090976262,1.0584361342186792,0.8725773991370462,2.1483177785414957,0.8892035562218026
0,1,0.6313388752158478,-0.6268069561121039,1.1020574741400748,,1.580405480250725,1.2652959383110487,1.2270822384348525,0.6352978455462241,2.1010338886677804,2.159643444794458,1.9697271999316601,1.581583215912326,0.7271849731379474
0,2,0.9239943242025563,0.9262655696203272,0.9031076595178275,1.580405480250725,,2.8229617117458363,1.6337044510101377,1.0521158544670015,2.7988312401920847,1.1761476688237076,1.1947129194138273,2.9587646625501995,0.9293787001096461
0,3,0.09144557627933247,-1.77113603346262,2.1609501837394585,1.2652959383110487,2.8229617117458363,,1.8456287231077242,1.8911921292235578,1.9938247547512076,3.1637735766344175,2.924875755919194,0.7262672240979786,1.9905762959233935
0,4,-0.4227274576986879,0.0014246776810309392,0.73205219416672,1.2270822384348525,1.6337044510101377,1.8456287231077242,,1.4447182489122894,1.1711311674386828,1.4059690595569523,1.1447173641779214,1.6138560944783518,1.422728171013798
0,5,1.0167299037199218,-0.12175536696081135,0.9627243843479516,0.6352978455462241,1.0521158544670015,1.8911921292235578,1.4447182489122894,,2.5170955217982303,1.9099422090787335,1.7851456117843825,2.2021312142631038,0.12289938593109277
0,6,-1.4673695315946005,-0.5279817340602122,1.9015240090976262,2.1010338886677804,2.7988312401920847,1.9938247547512076,1.1711311674386828,2.5170955217982303,,2.3150886112708577,2.0581334676452836,1.3705965902034405,2.523227519852815
0,7,-0.1600054481557156,1.3826292758970822,1.0584361342186792,2.159643444794458,1.1761476688237076,3.1637735766344175,1.4059690595569523,1.9099422090787335,2.3150886112708577,,0.2658506392517191,3.0180476047837352,1.8047926070101883
0,8,-0.2526198470101719,1.1334322945442268,0.8725773991370462,1.9697271999316601,1.1947129194138273,2.924875755919194,1.1447173641779214,1.7851456117843825,2.0581334676452836,0.2658506392517191,,2.7582725669655592,1.6892972643793565
0,9,-0.6146084752439056,-1.6009838747146214,2.1483177785414957,1.581583215912326,2.9587646625501995,0.7262672240979786,1.6138560944783518,2.2021312142631038,1.3705965902034405,3.0180476047837352,2.7582725669655592,,2.2737875660284743
