Batch,Robot,X,Y,neighbor_0,neighbor_1,neighbor_2,neighbor_3,neighbor_4,neighbor_5,neighbor_6,neighbor_7,neighbor_8,neighbor_9,leader,obstacle_0,obstacle_1,obstacle_2,obstacle_3,obstacle_4,obstacle_5,obstacle_6,obstacle_7,obstacle_8,obstacle_9
0,0,-1.821897767252414,-1.7831205990811823,,2.3976074774662783,1.8078285080805656,0.1607263718706724,4.49716303900248,3.1850060841246384,2.5101167398029496,2.2103833752547684,3.707244738908531,2.6209431531568477,3.3380572313385812,1.8119429470680701,1.8996965194584223,2.0388179690392634,2.2196695199814207,2.4329630221632916,2.6709375842043834,2.927580624413165,3.1984013613656166,3.4800914422689684,3.7702153581651285
0,1,0.13582852806758305,-0.3989857181483849,2.3976074774662783,,1.892829964328153,2.449757244602229,2.1320748589067597,2.405394261066263,1.2003439072391073,1.2333986693050518,1.4088453149903906,0.5262623929525139,0.9518308338083099,1.683782817505315,1.3622346844770155,1.0480764842703378,0.7506447364705702,0.500692466613683,0.40017570400842517,0.5401948391606547,0.8035561938378636,1.1053582547196206,1.4213210081190804
0,2,-1.7097679646919048,0.021227156205072095,1.8078285080805656,1.892829964328153,,1.9580754627439207,3.4549068540264822,1.3815317633115924,2.8099814875746127,2.650801226239904,2.631527942599388,1.7051587251032525,2.7098511056202077,0.2108392543421143,0.5435159722374799,0.8766916534364803,1.2099541811801586,1.5432472932513859,1.8765546935600712,2.2098699169722993,2.543189887558183,2.876512955061992,3.2098381546930006
0,3,-1.771871166792887,-1.935863212196097,0.1607263718706724,2.449757244602229,1.9580754627439207,,4.563892340806938,3.332140318540372,2.484272303082202,2.178248782907502,3.7832158647762424,2.7002131052927036,3.3809519579006078,1.9548606875344126,2.0282600581057695,2.1513762202760223,2.3162950246575438,2.514805730779151,2.7396159052115774,2.9847889330468687,3.245713613954888,3.5188877468608397,3.8016716465819136
0,4,1.5339262344210094,1.2106931341297855,4.49716303900248,2.1320748589067597,3.4549068540264822,4.563892340806938,,3.0182723326660597,2.8208577481027155,3.044867596289013,0.8287113506564354,1.8949102591574822,1.323198809261859,3.266571024933799,2.959557379479937,2.658889942467247,2.366988337971911,2.0875330129745975,1.8262465853889487,1.5920996587063923,1.398788146247833,1.2651709193370315,1.2111683840040541
0,5,-1.4793999039994281,1.3834167794409948,3.1850060841246384,2.405394261066263,1.3815317633115924,3.332140318540372,3.0182723326660597,,3.5753412821703656,3.522722932398218,2.3292153648841425,1.9484134910296473,2.8392368463358717,1.3835701462499568,1.4183243858058436,1.5268411834146804,1.695012140839405,1.9071210077069167,2.150203976534164,2.4149256646099566,2.694916884191898,2.9858851756280784,3.2849148807222837
0,6,0.6691544594946284,-1.4743409834042542,2.5101167398029496,1.2003439072391073,2.8099814875746127,2.484272303082202,2.8208577481027155,3.5753412821703656,,0.31704052061674964,2.3272521333669314,1.72028728817813,1.511006322626651,2.622768080576485,2.3545531513655726,2.1050299054746144,1.8816491398508917,1.6947797173328925,1.5576184761637044,1.4840129940510438,1.4834540902772722,1.5560204791809833,1.6923314236647284
0,7,0.38151117618575014,-1.6076677747112833,2.2103833752547684,1.2333986693050518,2.650801226239904,2.178248782907502,3.044867596289013,3.522722932398218,0.31704052061674964,,2.490920222399072,1.7586535514675066,1.7225342083767927,2.4748090794962376,2.2319162858280084,2.0150540578738307,1.8334823772225122,1.6985566287997167,1.6219598753099982,1.612028310921993,1.6699517764099132,1.7891519829454003,1.9584720888597096
0,8,0.7878855293957066,0.8498804830874995,3.707244738908531,1.4088453149903906,2.631527942599388,3.7832158647762424,0.8287113506564354,2.3292153648841425,2.3272521333669314,2.490920222399072,,1.087441497870134,0.8759505603473184,2.4406386523103567,2.1313308336964694,1.8304773793744307,1.5430314229982165,1.2780714888223355,1.0527153988345586,0.8973153924727291,0.8510947881498244,0.930468691297737,1.1087848550449608
0,9,-0.006797247061006928,0.10758115256571443,2.6209431531568477,0.5262623929525139,1.7051587251032525,2.7002131052927036,1.8949102591574822,1.9484134910296473,1.72028728817813,1.7586535514675066,1.087441497870134,,1.0125287161740104,1.4970731998709865,1.1648479621494547,0.8335080121377011,0.504799623508149,0.19269648598876435,0.20411622608966995,0.5180899092010796,0.846990611814026,1.1783850224813772,1.5106328634509434
1,0,-1.8185354655267518,-1.7698190192860943,,2.4392705491396636,1.7958018250863965,0.17509175451942788,4.346415037268962,3.08114463615053,2.477959168504311,2.230329533661634,3.6136173766749224,2.6189721877311274,3.3281228239743346,1.7982558782957272,1.886052038506383,2.0255573559653284,2.206987796721731,2.4209357467050325,2.6595651649643948,2.9168246546428094,3.188207566548079,3.470402156966671,3.7609755379403427
1,1,0.14833124653503077,-0.32708683731905014,2.4392705491396636,,1.8822540024164496,2.499789349498669,1.9283447417127735,2.248135983694107,1.215297582833865,1.2538083865786938,1.2382791117264809,0.46197623076961797,0.9123187298175749,1.6804706773553377,1.3550665337437118,1.0347227389574034,0.7261674768130598,0.45410294479204044,0.32760034612127986,0.48026733317079157,0.7590873849995188,1.0695760033966983,1.390681206546246
1,2,-1.701240354824736,0.022148070810438222,1.7958018250863965,1.8822540024164496,,1.9595519108835846,3.327617303407635,1.2943684612939161,2.757863169402427,2.628477183509167,2.5885141025460308,1.7069744683247632,2.7013311517794873,0.20245547029065378,0.5350323028673547,0.8681895731893479,1.2014445168629644,1.5347335082768223,1.8680383234766642,2.2013517748759637,2.5346704554525075,2.867992541998725,3.201316970623032
1,3,-1.764551308792232,-1.9363808195956322,0.17509175451942788,2.499789349498669,1.9595519108835846,,4.4186600872627055,3.2401563009722474,2.4527057503198324,2.199289498091794,3.693424146442597,2.7054935087245187,3.3752503044133917,1.9543689706607439,2.026582523310479,2.1486594882194856,2.3127171662496906,2.5105389875559787,2.734807771532292,2.9795575692794496,3.240150504573781,3.5130626948791015,3.795637749606109
1,4,1.4477683495942135,1.0976856561283994,4.346415037268962,1.9283447417127735,3.327617303407635,4.4186600872627055,,2.8722675318552535,2.6636350272142226,2.8516663942163567,0.7539734318637452,1.7489035718427153,1.185500018797284,3.145513001489491,2.8355218662392754,2.5314696694854795,2.2357807010865356,1.952258748577991,1.687049294380525,1.450233996347684,1.2579523794156688,1.1331072128508997,1.0989276340934133
1,5,-1.4183698511659308,1.2852292209160814,3.08114463615053,2.248135983694107,1.2943684612939161,3.2401563009722474,2.8722675318552535,,3.4133484371074116,3.373285631183051,2.2739861306821285,1.8436088686279815,2.7386724680627443,1.2878189436000815,1.3096444721311307,1.41211963993645,1.5796256942159088,1.7940387432779026,2.0406261081245245,2.3091030804533075,2.592678418427685,2.8869062937380976,3.188839403057296
1,6,0.6373308198771692,-1.4396638603215215,2.477959168504311,1.215297582833865,2.757863169402427,2.4527057503198324,2.6636350272142226,3.4133484371074116,,0.26262061139948817,2.1782488137008853,1.6757645955793892,1.484641695806376,2.576977893640665,2.308037903105654,2.0580294172470497,1.8347079943572326,1.6489523913942061,1.5146474097403742,1.4461990820091128,1.4529449459621653,1.533893239248488,1.6783414864233268
